Freq.	V(out)
1.00000000000000e+000	(-2.95557850462403e+001dB,8.80755183976743e+001°)
1.00230523807790e+000	(-2.95358072530370e+001dB,8.80711645021888e+001°)
1.00461579027840e+000	(-2.95158295622047e+001dB,8.80668004102710e+001°)
1.00693166885180e+000	(-2.94958519742150e+001dB,8.80624260989908e+001°)
1.00925288607668e+000	(-2.94758744895415e+001dB,8.80580415453656e+001°)
1.01157945425990e+000	(-2.94558971086603e+001dB,8.80536467263601e+001°)
1.01391138573668e+000	(-2.94359198320492e+001dB,8.80492416188856e+001°)
1.01624869287070e+000	(-2.94159426601887e+001dB,8.80448261998008e+001°)
1.01859138805412e+000	(-2.93959655935612e+001dB,8.80404004459108e+001°)
1.02093948370768e+000	(-2.93759886326513e+001dB,8.80359643339677e+001°)
1.02329299228075e+000	(-2.93560117779460e+001dB,8.80315178406700e+001°)
1.02565192625141e+000	(-2.93360350299344e+001dB,8.80270609426628e+001°)
1.02801629812647e+000	(-2.93160583891080e+001dB,8.80225936165373e+001°)
1.03038612044162e+000	(-2.92960818559604e+001dB,8.80181158388313e+001°)
1.03276140576140e+000	(-2.92761054309875e+001dB,8.80136275860284e+001°)
1.03514216667934e+000	(-2.92561291146875e+001dB,8.80091288345586e+001°)
1.03752841581801e+000	(-2.92361529075609e+001dB,8.80046195607973e+001°)
1.03992016582906e+000	(-2.92161768101106e+001dB,8.80000997410662e+001°)
1.04231742939330e+000	(-2.91962008228416e+001dB,8.79955693516322e+001°)
1.04472021922080e+000	(-2.91762249462613e+001dB,8.79910283687081e+001°)
1.04712854805090e+000	(-2.91562491808795e+001dB,8.79864767684521e+001°)
1.04954242865232e+000	(-2.91362735272083e+001dB,8.79819145269675e+001°)
1.05196187382322e+000	(-2.91162979857621e+001dB,8.79773416203030e+001°)
1.05438689639126e+000	(-2.90963225570577e+001dB,8.79727580244524e+001°)
1.05681750921366e+000	(-2.90763472416144e+001dB,8.79681637153543e+001°)
1.05925372517729e+000	(-2.90563720399536e+001dB,8.79635586688925e+001°)
1.06169555719872e+000	(-2.90363969525993e+001dB,8.79589428608952e+001°)
1.06414301822431e+000	(-2.90164219800780e+001dB,8.79543162671354e+001°)
1.06659612123026e+000	(-2.89964471229183e+001dB,8.79496788633305e+001°)
1.06905487922266e+000	(-2.89764723816515e+001dB,8.79450306251426e+001°)
1.07151930523761e+000	(-2.89564977568113e+001dB,8.79403715281776e+001°)
1.07398941234124e+000	(-2.89365232489337e+001dB,8.79357015479860e+001°)
1.07646521362983e+000	(-2.89165488585573e+001dB,8.79310206600620e+001°)
1.07894672222983e+000	(-2.88965745862231e+001dB,8.79263288398440e+001°)
1.08143395129794e+000	(-2.88766004324747e+001dB,8.79216260627141e+001°)
1.08392691402120e+000	(-2.88566263978581e+001dB,8.79169123039981e+001°)
1.08642562361706e+000	(-2.88366524829218e+001dB,8.79121875389652e+001°)
1.08893009333343e+000	(-2.88166786882168e+001dB,8.79074517428283e+001°)
1.09144033644876e+000	(-2.87967050142967e+001dB,8.79027048907436e+001°)
1.09395636627209e+000	(-2.87767314617176e+001dB,8.78979469578103e+001°)
1.09647819614318e+000	(-2.87567580310382e+001dB,8.78931779190710e+001°)
1.09900583943252e+000	(-2.87367847228198e+001dB,8.78883977495110e+001°)
1.10153930954141e+000	(-2.87168115376260e+001dB,8.78836064240586e+001°)
1.10407861990207e+000	(-2.86968384760233e+001dB,8.78788039175848e+001°)
