Freq.	V(out)
1.00000000000000e+000	(-5.35862780053050e+001dB,1.76379966272098e+002°)
1.00230523807790e+000	(-5.35462734352141e+001dB,1.76371687561485e+002°)
1.00461579027840e+000	(-5.35062688448232e+001dB,1.76363389494904e+002°)
1.00693166885180e+000	(-5.34662642340462e+001dB,1.76355072027536e+002°)
1.00925288607668e+000	(-5.34262596027965e+001dB,1.76346735114453e+002°)
1.01157945425990e+000	(-5.33862549509875e+001dB,1.76338378710620e+002°)
1.01391138573668e+000	(-5.33462502785321e+001dB,1.76330002770891e+002°)
1.01624869287070e+000	(-5.33062455853428e+001dB,1.76321607250011e+002°)
1.01859138805412e+000	(-5.32662408713318e+001dB,1.76313192102616e+002°)
1.02093948370768e+000	(-5.32262361364110e+001dB,1.76304757283232e+002°)
1.02329299228075e+000	(-5.31862313804921e+001dB,1.76296302746273e+002°)
1.02565192625141e+000	(-5.31462266034862e+001dB,1.76287828446046e+002°)
1.02801629812647e+000	(-5.31062218053042e+001dB,1.76279334336744e+002°)
1.03038612044162e+000	(-5.30662169858568e+001dB,1.76270820372451e+002°)
1.03276140576140e+000	(-5.30262121450540e+001dB,1.76262286507137e+002°)
1.03514216667934e+000	(-5.29862072828059e+001dB,1.76253732694664e+002°)
1.03752841581801e+000	(-5.29462023990219e+001dB,1.76245158888778e+002°)
1.03992016582906e+000	(-5.29061974936113e+001dB,1.76236565043117e+002°)
1.04231742939330e+000	(-5.28661925664829e+001dB,1.76227951111203e+002°)
1.04472021922080e+000	(-5.28261876175453e+001dB,1.76219317046448e+002°)
1.04712854805090e+000	(-5.27861826467066e+001dB,1.76210662802148e+002°)
1.04954242865232e+000	(-5.27461776538748e+001dB,1.76201988331488e+002°)
1.05196187382322e+000	(-5.27061726389572e+001dB,1.76193293587538e+002°)
1.05438689639126e+000	(-5.26661676018610e+001dB,1.76184578523255e+002°)
1.05681750921366e+000	(-5.26261625424931e+001dB,1.76175843091481e+002°)
1.05925372517729e+000	(-5.25861574607599e+001dB,1.76167087244943e+002°)
1.06169555719872e+000	(-5.25461523565675e+001dB,1.76158310936255e+002°)
1.06414301822431e+000	(-5.25061472298217e+001dB,1.76149514117914e+002°)
1.06659612123026e+000	(-5.24661420804279e+001dB,1.76140696742303e+002°)
1.06905487922266e+000	(-5.24261369082912e+001dB,1.76131858761687e+002°)
1.07151930523761e+000	(-5.23861317133163e+001dB,1.76123000128218e+002°)
1.07398941234124e+000	(-5.23461264954076e+001dB,1.76114120793929e+002°)
1.07646521362983e+000	(-5.23061212544691e+001dB,1.76105220710738e+002°)
1.07894672222983e+000	(-5.22661159904044e+001dB,1.76096299830445e+002°)
1.08143395129794e+000	(-5.22261107031169e+001dB,1.76087358104733e+002°)
1.08392691402120e+000	(-5.21861053925095e+001dB,1.76078395485169e+002°)
1.08642562361706e+000	(-5.21461000584848e+001dB,1.76069411923200e+002°)
1.08893009333343e+000	(-5.21060947009451e+001dB,1.76060407370156e+002°)
1.09144033644876e+000	(-5.20660893197923e+001dB,1.76051381777247e+002°)
1.09395636627209e+000	(-5.20260839149278e+001dB,1.76042335095567e+002°)
1.09647819614318e+000	(-5.19860784862529e+001dB,1.76033267276088e+002°)
1.09900583943252e+000	(-5.19460730336684e+001dB,1.76024178269665e+002°)
1.10153930954141e+000	(-5.19060675570747e+001dB,1.76015068027032e+002°)
1.10407861990207e+000	(-5.18660620563720e+001dB,1.76005936498802e+002°)
1.10662378397766e+000	(-5.18260565314599e+001dB,1.75996783635470e+002°)
1.10917481526240e+000	(-5.17860509822379e+001dB,1.75987609387409e+002°)
1.11173172728159e+000	(-5.17460454086050e+001dB,1.75978413704871e+002°)
1.11429453359173e+000	(-5.17060398104597e+001dB,1.75969196537986e+002°)
1.11686324778056e+000	(-5.16660341877005e+001dB,1.75959957836765e+002°)
1.11943788346715e+000	(-5.16260285402251e+001dB,1.75950697551095e+002°)
1.12201845430196e+000	(-5.15860228679312e+001dB,1.75941415630740e+002°)
1.12460497396692e+000	(-5.15460171707160e+001dB,1.75932112025344e+002°)
1.12719745617551e+000	(-5.15060114484763e+001dB,1.75922786684426e+002°)
1.12979591467280e+000	(-5.14660057011084e+001dB,1.75913439557382e+002°)
1.13240036323556e+000	(-5.14259999285086e+001dB,1.75904070593486e+002°)
1.13501081567231e+000	(-5.13859941305726e+001dB,1.75894679741887e+002°)
1.13762728582343e+000	(-5.13459883071956e+001dB,1.75885266951609e+002°)
1.14024978756117e+000	(-5.13059824582727e+001dB,1.75875832171554e+002°)
1.14287833478977e+000	(-5.12659765836984e+001dB,1.75866375350496e+002°)
1.14551294144553e+000	(-5.12259706833671e+001dB,1.75856896437087e+002°)
1.14815362149688e+000	(-5.11859647571725e+001dB,1.75847395379851e+002°)
1.15080038894443e+000	(-5.11459588050083e+001dB,1.75837872127188e+002°)
1.15345325782109e+000	(-5.11059528267674e+001dB,1.75828326627370e+002°)
1.15611224219210e+000	(-5.10659468223426e+001dB,1.75818758828544e+002°)
1.15877735615512e+000	(-5.10259407916263e+001dB,1.75809168678731e+002°)
1.16144861384034e+000	(-5.09859347345105e+001dB,1.75799556125821e+002°)
1.16412602941049e+000	(-5.09459286508869e+001dB,1.75789921117582e+002°)
1.16680961706096e+000	(-5.09059225406466e+001dB,1.75780263601649e+002°)
1.16949939101987e+000	(-5.08659164036805e+001dB,1.75770583525532e+002°)
1.17219536554813e+000	(-5.08259102398792e+001dB,1.75760880836612e+002°)
1.17489755493953e+000	(-5.07859040491326e+001dB,1.75751155482140e+002°)
1.17760597352080e+000	(-5.07458978313307e+001dB,1.75741407409240e+002°)
1.18032063565173e+000	(-5.07058915863626e+001dB,1.75731636564904e+002°)
1.18304155572516e+000	(-5.06658853141175e+001dB,1.75721842895995e+002°)
1.18576874816716e+000	(-5.06258790144838e+001dB,1.75712026349247e+002°)
1.18850222743702e+000	(-5.05858726873498e+001dB,1.75702186871262e+002°)
1.19124200802737e+000	(-5.05458663326033e+001dB,1.75692324408512e+002°)
1.19398810446427e+000	(-5.05058599501319e+001dB,1.75682438907337e+002°)
1.19674053130724e+000	(-5.04658535398224e+001dB,1.75672530313945e+002°)
1.19949930314938e+000	(-5.04258471015617e+001dB,1.75662598574414e+002°)
1.20226443461741e+000	(-5.03858406352360e+001dB,1.75652643634687e+002°)
1.20503594037179e+000	(-5.03458341407313e+001dB,1.75642665440578e+002°)
1.20781383510678e+000	(-5.03058276179330e+001dB,1.75632663937764e+002°)
1.21059813355048e+000	(-5.02658210667264e+001dB,1.75622639071792e+002°)
1.21338885046497e+000	(-5.02258144869962e+001dB,1.75612590788072e+002°)
1.21618600064636e+000	(-5.01858078786267e+001dB,1.75602519031883e+002°)
1.21898959892486e+000	(-5.01458012415020e+001dB,1.75592423748368e+002°)
1.22179966016487e+000	(-5.01057945755057e+001dB,1.75582304882536e+002°)
1.22461619926504e+000	(-5.00657878805210e+001dB,1.75572162379259e+002°)
1.22743923115840e+000	(-5.00257811564306e+001dB,1.75561996183275e+002°)
1.23026877081238e+000	(-4.99857744031172e+001dB,1.75551806239187e+002°)
1.23310483322890e+000	(-4.99457676204627e+001dB,1.75541592491460e+002°)
1.23594743344451e+000	(-4.99057608083488e+001dB,1.75531354884423e+002°)
1.23879658653036e+000	(-4.98657539666567e+001dB,1.75521093362268e+002°)
1.24165230759241e+000	(-4.98257470952675e+001dB,1.75510807869051e+002°)
1.24451461177138e+000	(-4.97857401940615e+001dB,1.75500498348687e+002°)
1.24738351424294e+000	(-4.97457332629189e+001dB,1.75490164744957e+002°)
1.25025903021771e+000	(-4.97057263017194e+001dB,1.75479807001500e+002°)
1.25314117494141e+000	(-4.96657193103423e+001dB,1.75469425061819e+002°)
1.25602996369487e+000	(-4.96257122886666e+001dB,1.75459018869275e+002°)
1.25892541179416e+000	(-4.95857052365708e+001dB,1.75448588367093e+002°)
1.26182753459066e+000	(-4.95456981539332e+001dB,1.75438133498354e+002°)
1.26473634747115e+000	(-4.95056910406314e+001dB,1.75427654206001e+002°)
1.26765186585784e+000	(-4.94656838965428e+001dB,1.75417150432837e+002°)
1.27057410520854e+000	(-4.94256767215445e+001dB,1.75406622121522e+002°)
1.27350308101666e+000	(-4.93856695155130e+001dB,1.75396069214576e+002°)
1.27643880881134e+000	(-4.93456622783246e+001dB,1.75385491654376e+002°)
1.27938130415752e+000	(-4.93056550098550e+001dB,1.75374889383157e+002°)
1.28233058265602e+000	(-4.92656477099796e+001dB,1.75364262343013e+002°)
1.28528665994361e+000	(-4.92256403785736e+001dB,1.75353610475893e+002°)
1.28824955169313e+000	(-4.91856330155114e+001dB,1.75342933723603e+002°)
1.29121927361353e+000	(-4.91456256206675e+001dB,1.75332232027805e+002°)
1.29419584144998e+000	(-4.91056181939155e+001dB,1.75321505330018e+002°)
1.29717927098395e+000	(-4.90656107351291e+001dB,1.75310753571617e+002°)
1.30016957803328e+000	(-4.90256032441812e+001dB,1.75299976693829e+002°)
1.30316677845229e+000	(-4.89855957209445e+001dB,1.75289174637737e+002°)
1.30617088813183e+000	(-4.89455881652913e+001dB,1.75278347344281e+002°)
1.30918192299940e+000	(-4.89055805770935e+001dB,1.75267494754251e+002°)
1.31219989901920e+000	(-4.88655729562225e+001dB,1.75256616808292e+002°)
1.31522483219223e+000	(-4.88255653025496e+001dB,1.75245713446902e+002°)
1.31825673855640e+000	(-4.87855576159453e+001dB,1.75234784610433e+002°)
1.32129563418657e+000	(-4.87455498962800e+001dB,1.75223830239086e+002°)
