Freq.	V(rl_out)	V(rlc_out)
1.00000000000000e+000	(-2.95702796104606e+001dB,8.61724978596689e+001°)	(-5.35912366716180e+001dB,1.74468718421486e+002°)
1.00230523807790e+000	(-2.95503681356312e+001dB,8.61637797539317e+001°)	(-5.35512548455086e+001dB,1.74456018807208e+002°)
1.00461579027840e+000	(-2.95304570675819e+001dB,8.61550415479821e+001°)	(-5.35112731064530e+001dB,1.74443289542449e+002°)
1.00693166885180e+000	(-2.95105464081737e+001dB,8.61462831971392e+001°)	(-5.34712914548827e+001dB,1.74430530557954e+002°)
1.00925288607668e+000	(-2.94906361592760e+001dB,8.61375046566264e+001°)	(-5.34313098912312e+001dB,1.74417741784296e+002°)
1.01157945425990e+000	(-2.94707263227667e+001dB,8.61287058815717e+001°)	(-5.33913284159343e+001dB,1.74404923151881e+002°)
1.01391138573668e+000	(-2.94508169005322e+001dB,8.61198868270071e+001°)	(-5.33513470294302e+001dB,1.74392074590940e+002°)
1.01624869287070e+000	(-2.94309078944673e+001dB,8.61110474478688e+001°)	(-5.33113657321594e+001dB,1.74379196031538e+002°)
1.01859138805412e+000	(-2.94109993064756e+001dB,8.61021876989967e+001°)	(-5.32713845245645e+001dB,1.74366287403565e+002°)
1.02093948370768e+000	(-2.93910911384693e+001dB,8.60933075351346e+001°)	(-5.32314034070907e+001dB,1.74353348636740e+002°)
1.02329299228075e+000	(-2.93711833923690e+001dB,8.60844069109297e+001°)	(-5.31914223801854e+001dB,1.74340379660609e+002°)
1.02565192625141e+000	(-2.93512760701043e+001dB,8.60754857809328e+001°)	(-5.31514414442984e+001dB,1.74327380404547e+002°)
1.02801629812647e+000	(-2.93313691736135e+001dB,8.60665440995976e+001°)	(-5.31114605998817e+001dB,1.74314350797755e+002°)
1.03038612044162e+000	(-2.93114627048435e+001dB,8.60575818212811e+001°)	(-5.30714798473901e+001dB,1.74301290769259e+002°)
1.03276140576140e+000	(-2.92915566657502e+001dB,8.60485989002433e+001°)	(-5.30314991872803e+001dB,1.74288200247911e+002°)
1.03514216667934e+000	(-2.92716510582983e+001dB,8.60395952906468e+001°)	(-5.29915186200117e+001dB,1.74275079162390e+002°)
1.03752841581801e+000	(-2.92517458844613e+001dB,8.60305709465568e+001°)	(-5.29515381460461e+001dB,1.74261927441199e+002°)
1.03992016582906e+000	(-2.92318411462219e+001dB,8.60215258219411e+001°)	(-5.29115577658477e+001dB,1.74248745012664e+002°)
1.04231742939330e+000	(-2.92119368455714e+001dB,8.60124598706695e+001°)	(-5.28715774798830e+001dB,1.74235531804936e+002°)
1.04472021922080e+000	(-2.91920329845105e+001dB,8.60033730465141e+001°)	(-5.28315972886213e+001dB,1.74222287745991e+002°)
1.04712854805090e+000	(-2.91721295650486e+001dB,8.59942653031490e+001°)	(-5.27916171925341e+001dB,1.74209012763625e+002°)
1.04954242865232e+000	(-2.91522265892045e+001dB,8.59851365941499e+001°)	(-5.27516371920954e+001dB,1.74195706785458e+002°)
1.05196187382322e+000	(-2.91323240590059e+001dB,8.59759868729945e+001°)	(-5.27116572877820e+001dB,1.74182369738932e+002°)
1.05438689639126e+000	(-2.91124219764899e+001dB,8.59668160930615e+001°)	(-5.26716774800728e+001dB,1.74169001551311e+002°)
1.05681750921366e+000	(-2.90925203437025e+001dB,8.59576242076312e+001°)	(-5.26316977694496e+001dB,1.74155602149680e+002°)
1.05925372517729e+000	(-2.90726191626994e+001dB,8.59484111698852e+001°)	(-5.25917181563966e+001dB,1.74142171460942e+002°)
1.06169555719872e+000	(-2.90527184355452e+001dB,8.59391769329058e+001°)	(-5.25517386414005e+001dB,1.74128709411824e+002°)
1.06414301822431e+000	(-2.90328181643141e+001dB,8.59299214496762e+001°)	(-5.25117592249507e+001dB,1.74115215928870e+002°)
1.06659612123026e+000	(-2.90129183510894e+001dB,8.59206446730805e+001°)	(-5.24717799075391e+001dB,1.74101690938444e+002°)
1.06905487922266e+000	(-2.89930189979642e+001dB,8.59113465559031e+001°)	(-5.24318006896603e+001dB,1.74088134366729e+002°)
1.07151930523761e+000	(-2.89731201070408e+001dB,8.59020270508288e+001°)	(-5.23918215718115e+001dB,1.74074546139725e+002°)
1.07398941234124e+000	(-2.89532216804310e+001dB,8.58926861104428e+001°)	(-5.23518425544925e+001dB,1.74060926183251e+002°)
1.07646521362983e+000	(-2.89333237202563e+001dB,8.58833236872300e+001°)	(-5.23118636382058e+001dB,1.74047274422942e+002°)
1.07894672222983e+000	(-2.89134262286477e+001dB,8.58739397335756e+001°)	(-5.22718848234566e+001dB,1.74033590784251e+002°)
1.08143395129794e+000	(-2.88935292077458e+001dB,8.58645342017641e+001°)	(-5.22319061107528e+001dB,1.74019875192445e+002°)
1.08392691402120e+000	(-2.88736326597010e+001dB,8.58551070439799e+001°)	(-5.21919275006048e+001dB,1.74006127572609e+002°)
1.08642562361706e+000	(-2.88537365866733e+001dB,8.58456582123067e+001°)	(-5.21519489935260e+001dB,1.73992347849642e+002°)
1.08893009333343e+000	(-2.88338409908325e+001dB,8.58361876587274e+001°)	(-5.21119705900324e+001dB,1.73978535948259e+002°)
1.09144033644876e+000	(-2.88139458743582e+001dB,8.58266953351241e+001°)	(-5.20719922906428e+001dB,1.73964691792986e+002°)
1.09395636627209e+000	(-2.87940512394399e+001dB,8.58171811932779e+001°)	(-5.20320140958786e+001dB,1.73950815308166e+002°)
