Freq.	V(out)
1.00000000000000e+000	(-5.35862863826311e+001dB,1.76380047231188e+002°)
1.00230523807790e+000	(-5.35462818125403e+001dB,1.76371768707205e+002°)
1.00461579027840e+000	(-5.35062772221495e+001dB,1.76363470827684e+002°)
1.00693166885180e+000	(-5.34662726113725e+001dB,1.76355153547807e+002°)
1.00925288607668e+000	(-5.34262679801230e+001dB,1.76346816822648e+002°)
1.01157945425990e+000	(-5.33862633283141e+001dB,1.76338460607171e+002°)
1.01391138573668e+000	(-5.33462586558588e+001dB,1.76330084856233e+002°)
1.01624869287070e+000	(-5.33062539626695e+001dB,1.76321689524579e+002°)
1.01859138805412e+000	(-5.32662492486586e+001dB,1.76313274566847e+002°)
1.02093948370768e+000	(-5.32262445137380e+001dB,1.76304839937562e+002°)
1.02329299228075e+000	(-5.31862397578191e+001dB,1.76296385591142e+002°)
1.02565192625141e+000	(-5.31462349808133e+001dB,1.76287911481892e+002°)
1.02801629812647e+000	(-5.31062301826314e+001dB,1.76279417564007e+002°)
1.03038612044162e+000	(-5.30662253631841e+001dB,1.76270903791572e+002°)
1.03276140576140e+000	(-5.30262205223814e+001dB,1.76262370118559e+002°)
1.03514216667934e+000	(-5.29862156601334e+001dB,1.76253816498830e+002°)
1.03752841581801e+000	(-5.29462107763495e+001dB,1.76245242886133e+002°)
1.03992016582906e+000	(-5.29062058709390e+001dB,1.76236649234105e+002°)
1.04231742939330e+000	(-5.28662009438107e+001dB,1.76228035496272e+002°)
1.04472021922080e+000	(-5.28261959948732e+001dB,1.76219401626044e+002°)
1.04712854805090e+000	(-5.27861910240346e+001dB,1.76210747576720e+002°)
1.04954242865232e+000	(-5.27461860312028e+001dB,1.76202073301485e+002°)
1.05196187382322e+000	(-5.27061810162853e+001dB,1.76193378753411e+002°)
1.05438689639126e+000	(-5.26661759791893e+001dB,1.76184663885455e+002°)
1.05681750921366e+000	(-5.26261709198214e+001dB,1.76175928650461e+002°)
1.05925372517729e+000	(-5.25861658380883e+001dB,1.76167173001158e+002°)
1.06169555719872e+000	(-5.25461607338961e+001dB,1.76158396890158e+002°)
1.06414301822431e+000	(-5.25061556071504e+001dB,1.76149600269961e+002°)
1.06659612123026e+000	(-5.24661504577567e+001dB,1.76140783092950e+002°)
1.06905487922266e+000	(-5.24261452856201e+001dB,1.76131945311393e+002°)
1.07151930523761e+000	(-5.23861400906453e+001dB,1.76123086877441e+002°)
1.07398941234124e+000	(-5.23461348727367e+001dB,1.76114207743130e+002°)
1.07646521362983e+000	(-5.23061296317983e+001dB,1.76105307860377e+002°)
1.07894672222983e+000	(-5.22661243677337e+001dB,1.76096387180985e+002°)
1.08143395129794e+000	(-5.22261190804463e+001dB,1.76087445656637e+002°)
1.08392691402120e+000	(-5.21861137698390e+001dB,1.76078483238901e+002°)
1.08642562361706e+000	(-5.21461084358144e+001dB,1.76069499879225e+002°)
1.08893009333343e+000	(-5.21061030782748e+001dB,1.76060495528940e+002°)
1.09144033644876e+000	(-5.20660976971221e+001dB,1.76051470139258e+002°)
1.09395636627209e+000	(-5.20260922922577e+001dB,1.76042423661273e+002°)
1.09647819614318e+000	(-5.19860868635829e+001dB,1.76033356045959e+002°)
1.09900583943252e+000	(-5.19460814109985e+001dB,1.76024267244172e+002°)
1.10153930954141e+000	(-5.19060759344050e+001dB,1.76015157206646e+002°)
1.10407861990207e+000	(-5.18660704337023e+001dB,1.76006025883996e+002°)
1.10662378397766e+000	(-5.18260649087904e+001dB,1.75996873226718e+002°)
1.10917481526240e+000	(-5.17860593595685e+001dB,1.75987699185186e+002°)
1.11173172728159e+000	(-5.17460537859356e+001dB,1.75978503709653e+002°)
1.11429453359173e+000	(-5.17060481877905e+001dB,1.75969286750250e+002°)
1.11686324778056e+000	(-5.16660425650313e+001dB,1.75960048256990e+002°)
1.11943788346715e+000	(-5.16260369175561e+001dB,1.75950788179759e+002°)
1.12201845430196e+000	(-5.15860312452623e+001dB,1.75941506468325e+002°)
1.12460497396692e+000	(-5.15460255480472e+001dB,1.75932203072331e+002°)
1.12719745617551e+000	(-5.15060198258076e+001dB,1.75922877941298e+002°)
1.12979591467280e+000	(-5.14660140784399e+001dB,1.75913531024623e+002°)
1.13240036323556e+000	(-5.14260083058402e+001dB,1.75904162271580e+002°)
1.13501081567231e+000	(-5.13860025079042e+001dB,1.75894771631321e+002°)
1.13762728582343e+000	(-5.13459966845274e+001dB,1.75885359052870e+002°)
1.14024978756117e+000	(-5.13059908356046e+001dB,1.75875924485130e+002°)
1.14287833478977e+000	(-5.12659849610305e+001dB,1.75866467876877e+002°)
1.14551294144553e+000	(-5.12259790606992e+001dB,1.75856989176763e+002°)
1.14815362149688e+000	(-5.11859731345048e+001dB,1.75847488333314e+002°)
1.15080038894443e+000	(-5.11459671823406e+001dB,1.75837965294930e+002°)
1.15345325782109e+000	(-5.11059612040998e+001dB,1.75828420009886e+002°)
1.15611224219210e+000	(-5.10659551996752e+001dB,1.75818852426329e+002°)
1.15877735615512e+000	(-5.10259491689590e+001dB,1.75809262492280e+002°)
1.16144861384034e+000	(-5.09859431118434e+001dB,1.75799650155633e+002°)
1.16412602941049e+000	(-5.09459370282199e+001dB,1.75790015364154e+002°)
1.16680961706096e+000	(-5.09059309179797e+001dB,1.75780358065482e+002°)
1.16949939101987e+000	(-5.08659247810137e+001dB,1.75770678207127e+002°)
1.17219536554813e+000	(-5.08259186172125e+001dB,1.75760975736470e+002°)
1.17489755493953e+000	(-5.07859124264661e+001dB,1.75751250600765e+002°)
1.17760597352080e+000	(-5.07459062086643e+001dB,1.75741502747136e+002°)
1.18032063565173e+000	(-5.07058999636963e+001dB,1.75731732122576e+002°)
1.18304155572516e+000	(-5.06658936914513e+001dB,1.75721938673950e+002°)
1.18576874816716e+000	(-5.06258873918177e+001dB,1.75712122347993e+002°)
1.18850222743702e+000	(-5.05858810646839e+001dB,1.75702283091308e+002°)
1.19124200802737e+000	(-5.05458747099375e+001dB,1.75692420850367e+002°)
1.19398810446427e+000	(-5.05058683274662e+001dB,1.75682535571513e+002°)
1.19674053130724e+000	(-5.04658619171569e+001dB,1.75672627200955e+002°)
1.19949930314938e+000	(-5.04258554788963e+001dB,1.75662695684771e+002°)
1.20226443461741e+000	(-5.03858490125707e+001dB,1.75652740968907e+002°)
1.20503594037179e+000	(-5.03458425180661e+001dB,1.75642762999176e+002°)
1.20781383510678e+000	(-5.03058359952680e+001dB,1.75632761721258e+002°)
1.21059813355048e+000	(-5.02658294440615e+001dB,1.75622737080700e+002°)
1.21338885046497e+000	(-5.02258228643314e+001dB,1.75612689022914e+002°)
1.21618600064636e+000	(-5.01858162559621e+001dB,1.75602617493179e+002°)
1.21898959892486e+000	(-5.01458096188375e+001dB,1.75592522436641e+002°)
1.22179966016487e+000	(-5.01058029528413e+001dB,1.75582403798308e+002°)
1.22461619926504e+000	(-5.00657962578567e+001dB,1.75572261523055e+002°)
1.22743923115840e+000	(-5.00257895337666e+001dB,1.75562095555621e+002°)
1.23026877081238e+000	(-4.99857827804532e+001dB,1.75551905840610e+002°)
1.23310483322890e+000	(-4.99457759977989e+001dB,1.75541692322487e+002°)
1.23594743344451e+000	(-4.99057691856851e+001dB,1.75531454945585e+002°)
1.23879658653036e+000	(-4.98657623439932e+001dB,1.75521193654095e+002°)
1.24165230759241e+000	(-4.98257554726041e+001dB,1.75510908392073e+002°)
1.24451461177138e+000	(-4.97857485713982e+001dB,1.75500599103439e+002°)
1.24738351424294e+000	(-4.97457416402557e+001dB,1.75490265731972e+002°)
1.25025903021771e+000	(-4.97057346790563e+001dB,1.75479908221314e+002°)
1.25314117494141e+000	(-4.96657276876794e+001dB,1.75469526514968e+002°)
1.25602996369487e+000	(-4.96257206660039e+001dB,1.75459120556298e+002°)
1.25892541179416e+000	(-4.95857136139083e+001dB,1.75448690288528e+002°)
1.26182753459066e+000	(-4.95457065312707e+001dB,1.75438235654742e+002°)
1.26473634747115e+000	(-4.95056994179691e+001dB,1.75427756597884e+002°)
1.26765186585784e+000	(-4.94656922738807e+001dB,1.75417253060758e+002°)
1.27057410520854e+000	(-4.94256850988825e+001dB,1.75406724986024e+002°)
1.27350308101666e+000	(-4.93856778928512e+001dB,1.75396172316205e+002°)
1.27643880881134e+000	(-4.93456706556629e+001dB,1.75385594993678e+002°)
1.27938130415752e+000	(-4.93056633871934e+001dB,1.75374992960681e+002°)
1.28233058265602e+000	(-4.92656560873182e+001dB,1.75364366159308e+002°)
1.28528665994361e+000	(-4.92256487559123e+001dB,1.75353714531508e+002°)
1.28824955169313e+000	(-4.91856413928503e+001dB,1.75343038019091e+002°)
1.29121927361353e+000	(-4.91456339980065e+001dB,1.75332336563719e+002°)
1.29419584144998e+000	(-4.91056265712547e+001dB,1.75321610106912e+002°)
1.29717927098395e+000	(-4.90656191124684e+001dB,1.75310858590046e+002°)
1.30016957803328e+000	(-4.90256116215207e+001dB,1.75300081954350e+002°)
1.30316677845229e+000	(-4.89856040982841e+001dB,1.75289280140909e+002°)
1.30617088813183e+000	(-4.89455965426311e+001dB,1.75278453090662e+002°)
1.30918192299940e+000	(-4.89055889544334e+001dB,1.75267600744402e+002°)
1.31219989901920e+000	(-4.88655813335626e+001dB,1.75256723042776e+002°)
1.31522483219223e+000	(-4.88255736798898e+001dB,1.75245819926282e+002°)
1.31825673855640e+000	(-4.87855659932857e+001dB,1.75234891335272e+002°)
1.32129563418657e+000	(-4.87455582736206e+001dB,1.75223937209952e+002°)
1.32434153519466e+000	(-4.87055505207644e+001dB,1.75212957490376e+002°)
1.32739445772973e+000	(-4.86655427345867e+001dB,1.75201952116453e+002°)
1.33045441797808e+000	(-4.86255349149565e+001dB,1.75190921027940e+002°)
1.33352143216332e+000	(-4.85855270617427e+001dB,1.75179864164448e+002°)
1.33659551654643e+000	(-4.85455191748136e+001dB,1.75168781465436e+002°)
