Freq.	V(out)
1.00000000000000e+000	(-4.40436127517268e+001dB,1.76380313170101e+002°)
1.00230523807790e+000	(-4.40036081816368e+001dB,1.76372035259170e+002°)
1.00461579027840e+000	(-4.39636035912469e+001dB,1.76363737994115e+002°)
1.00693166885180e+000	(-4.39235989804708e+001dB,1.76355421330120e+002°)
1.00925288607668e+000	(-4.38835943492221e+001dB,1.76347085222263e+002°)
1.01157945425990e+000	(-4.38435896974140e+001dB,1.76338729625512e+002°)
1.01391138573668e+000	(-4.38035850249596e+001dB,1.76330354494725e+002°)
1.01624869287070e+000	(-4.37635803317712e+001dB,1.76321959784652e+002°)
1.01859138805412e+000	(-4.37235756177612e+001dB,1.76313545449933e+002°)
1.02093948370768e+000	(-4.36835708828414e+001dB,1.76305111445099e+002°)
1.02329299228075e+000	(-4.36435661269234e+001dB,1.76296657724568e+002°)
1.02565192625141e+000	(-4.36035613499185e+001dB,1.76288184242650e+002°)
1.02801629812647e+000	(-4.35635565517375e+001dB,1.76279690953544e+002°)
1.03038612044162e+000	(-4.35235517322910e+001dB,1.76271177811337e+002°)
1.03276140576140e+000	(-4.34835468914893e+001dB,1.76262644770005e+002°)
1.03514216667934e+000	(-4.34435420292421e+001dB,1.76254091783412e+002°)
1.03752841581801e+000	(-4.34035371454592e+001dB,1.76245518805312e+002°)
1.03992016582906e+000	(-4.33635322400496e+001dB,1.76236925789344e+002°)
1.04231742939330e+000	(-4.33235273129222e+001dB,1.76228312689036e+002°)
1.04472021922080e+000	(-4.32835223639856e+001dB,1.76219679457803e+002°)
1.04712854805090e+000	(-4.32435173931479e+001dB,1.76211026048948e+002°)
1.04954242865232e+000	(-4.32035124003171e+001dB,1.76202352415658e+002°)
1.05196187382322e+000	(-4.31635073854005e+001dB,1.76193658511008e+002°)
1.05438689639126e+000	(-4.31235023483054e+001dB,1.76184944287961e+002°)
1.05681750921366e+000	(-4.30834972889385e+001dB,1.76176209699361e+002°)
1.05925372517729e+000	(-4.30434922072063e+001dB,1.76167454697942e+002°)
1.06169555719872e+000	(-4.30034871030150e+001dB,1.76158679236320e+002°)
1.06414301822431e+000	(-4.29634819762703e+001dB,1.76149883266999e+002°)
1.06659612123026e+000	(-4.29234768268776e+001dB,1.76141066742364e+002°)
1.06905487922266e+000	(-4.28834716547419e+001dB,1.76132229614686e+002°)
1.07151930523761e+000	(-4.28434664597681e+001dB,1.76123371836121e+002°)
1.07398941234124e+000	(-4.28034612418605e+001dB,1.76114493358707e+002°)
1.07646521362983e+000	(-4.27634560009230e+001dB,1.76105594134366e+002°)
1.07894672222983e+000	(-4.27234507368594e+001dB,1.76096674114903e+002°)
1.08143395129794e+000	(-4.26834454495730e+001dB,1.76087733252007e+002°)
1.08392691402120e+000	(-4.26434401389667e+001dB,1.76078771497246e+002°)
1.08642562361706e+000	(-4.26034348049431e+001dB,1.76069788802074e+002°)
1.08893009333343e+000	(-4.25634294474045e+001dB,1.76060785117825e+002°)
1.09144033644876e+000	(-4.25234240662527e+001dB,1.76051760395715e+002°)
1.09395636627209e+000	(-4.24834186613894e+001dB,1.76042714586840e+002°)
1.09647819614318e+000	(-4.24434132327156e+001dB,1.76033647642179e+002°)
1.09900583943252e+000	(-4.24034077801322e+001dB,1.76024559512591e+002°)
1.10153930954141e+000	(-4.23634023035397e+001dB,1.76015450148813e+002°)
1.10407861990207e+000	(-4.23233968028381e+001dB,1.76006319501464e+002°)
1.10662378397766e+000	(-4.22833912779272e+001dB,1.75997167521045e+002°)
1.10917481526240e+000	(-4.22433857287063e+001dB,1.75987994157931e+002°)
1.11173172728159e+000	(-4.22033801550745e+001dB,1.75978799362380e+002°)
1.11429453359173e+000	(-4.21633745569304e+001dB,1.75969583084528e+002°)
1.11686324778056e+000	(-4.21233689341723e+001dB,1.75960345274389e+002°)
1.11943788346715e+000	(-4.20833632866981e+001dB,1.75951085881854e+002°)
1.12201845430196e+000	(-4.20433576144054e+001dB,1.75941804856694e+002°)
1.12460497396692e+000	(-4.20033519171914e+001dB,1.75932502148556e+002°)
1.12719745617551e+000	(-4.19633461949528e+001dB,1.75923177706964e+002°)
1.12979591467280e+000	(-4.19233404475862e+001dB,1.75913831481321e+002°)
1.13240036323556e+000	(-4.18833346749875e+001dB,1.75904463420902e+002°)
1.13501081567231e+000	(-4.18433288770527e+001dB,1.75895073474864e+002°)
1.13762728582343e+000	(-4.18033230536769e+001dB,1.75885661592234e+002°)
1.14024978756117e+000	(-4.17633172047552e+001dB,1.75876227721919e+002°)
1.14287833478977e+000	(-4.17233113301822e+001dB,1.75866771812699e+002°)
1.14551294144553e+000	(-4.16833054298521e+001dB,1.75857293813230e+002°)
1.14815362149688e+000	(-4.16432995036588e+001dB,1.75847793672040e+002°)
1.15080038894443e+000	(-4.16032935514957e+001dB,1.75838271337535e+002°)
