Freq.	V(out)
1.00000000000000e+000	(-2.12193739045166e+002dB,1.76379913633911e+002°)
1.00230523807790e+000	(-2.12153734449204e+002dB,1.76371634766736e+002°)
1.00461579027840e+000	(-2.12113729882611e+002dB,1.76363336596418e+002°)
1.00693166885180e+000	(-2.12073725231814e+002dB,1.76355019013455e+002°)
1.00925288607668e+000	(-2.12033720623412e+002dB,1.76346681989943e+002°)
1.01157945425990e+000	(-2.11993716003697e+002dB,1.76338325441141e+002°)
1.01391138573668e+000	(-2.11953711324429e+002dB,1.76329949385067e+002°)
1.01624869287070e+000	(-2.11913706670800e+002dB,1.76321553717193e+002°)
1.01859138805412e+000	(-2.11873701900206e+002dB,1.76313138469124e+002°)
1.02093948370768e+000	(-2.11833697204495e+002dB,1.76304703516993e+002°)
1.02329299228075e+000	(-2.11793692424147e+002dB,1.76296248853411e+002°)
1.02565192625141e+000	(-2.11753687682717e+002dB,1.76287774410862e+002°)
1.02801629812647e+000	(-2.11713682879991e+002dB,1.76279280194069e+002°)
1.03038612044162e+000	(-2.11673678044444e+002dB,1.76270766108817e+002°)
1.03276140576140e+000	(-2.11633673159741e+002dB,1.76262232120152e+002°)
1.03514216667934e+000	(-2.11593668311654e+002dB,1.76253678198403e+002°)
1.03752841581801e+000	(-2.11553663441159e+002dB,1.76245104251390e+002°)
1.03992016582906e+000	(-2.11513658517303e+002dB,1.76236510285025e+002°)
1.04231742939330e+000	(-2.11473653612667e+002dB,1.76227896208381e+002°)
1.04472021922080e+000	(-2.11433648679942e+002dB,1.76219262020715e+002°)
1.04712854805090e+000	(-2.11393643699844e+002dB,1.76210607657096e+002°)
1.04954242865232e+000	(-2.11353638731002e+002dB,1.76201933057829e+002°)
1.05196187382322e+000	(-2.11313633665893e+002dB,1.76193238204030e+002°)
1.05438689639126e+000	(-2.11273628664589e+002dB,1.76184522988307e+002°)
1.05681750921366e+000	(-2.11233623557556e+002dB,1.76175787446078e+002°)
